RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53347713,20221130,M,60대,부산광역시,500이상700만원 미만,5,5,35,40,30,10,20,0
53347877,20221130,M,60대,서울특별시,500이상700만원 미만,3,5,25,20,80,0,0,0
53347940,20221130,M,40대,대구광역시,500이상700만원 미만,1,3,11,30,20,20,30,0
53348080,20221130,F,40대,강원도,300만원 미만,2,2,14,85,0,15,0,0
53348186,20221130,M,20대,충청북도,700만원 이상,2,6,22,10,40,0,50,0
53348193,20221130,F,30대,충청남도,300이상500만원 미만,2,6,22,50,0,10,40,0
53348284,20221130,M,20대,광주광역시,무응답,1,1,7,30,40,0,30,0
53348527,20221130,M,50대,강원도,300이상500만원 미만,4,6,32,70,0,10,0,20
53348617,20221130,M,30대,경상남도,500이상700만원 미만,4,8,36,40,10,0,50,0
53348786,20221130,M,50대,대구광역시,500이상700만원 미만,3,8,31,10,10,5,40,35
53348889,20221130,F,50대,서울특별시,700만원 이상,1,1,7,60,10,20,10,0
53349083,20221130,F,60대,서울특별시,700만원 이상,3,4,23,30,20,10,40,0
53349200,20221130,M,60대,충청남도,300만원 미만,8,10,60,50,10,10,30,0
53349225,20221130,M,50대,울산광역시,300만원 미만,2,6,22,50,0,20,30,0
53349301,20221130,M,40대,경기도,300이상500만원 미만,2,1,12,50,10,0,40,0
53349363,20221130,F,60대,충청북도,300이상500만원 미만,5,4,33,20,20,30,30,0
53349473,20221130,F,30대,경상남도,700만원 이상,3,10,35,50,0,10,40,0
53349579,20221130,M,40대,경상북도,무응답,6,6,42,80,20,0,0,0
53349632,20221130,M,20대,경기도,300이상500만원 미만,3,4,23,20,10,70,0,0
53349659,20221130,M,60대,충청남도,500이상700만원 미만,0,14,28,0,100,0,0,0
53349663,20221130,F,50대,서울특별시,300만원 미만,1,4,13,10,0,10,80,0
53349707,20221130,F,30대,경상북도,700만원 이상,4,6,32,80,0,10,10,0
